ID,CabinDeck,CabinSide,CabinRegion,Home,Destination,AgeGroup,Age,FamilySize,GroupSize,Commodities,ProductBills,ServiceBills,TotalBills,NoBills,Solo,VIP,CryoSleep,Transported,TrainSet
0029_01,B,P,1,Europa,D1,Adult,21,12,1,0,0,0,0,True,True,False,True,,False
0030_01,G,S,1,Earth,D3,Adult,32,4,1,4,931,890,1821,False,True,False,False,False,True
0031_01,F,P,1,Mars,D3,Adult,47,5,3,3,1411,1443,2854,False,False,False,False,True,True
0031_02,F,P,1,Mars,D3,Child,2,5,3,0,0,0,0,True,False,False,False,True,True
0031_03,F,P,1,Mars,D3,Adult,20,5,3,2,1750,990,2740,False,False,False,False,True,True
0032_01,D,S,1,Europa,D3,Adult,20,4,2,0,0,0,0,True,False,False,True,,False
0032_02,D,S,1,Europa,D1,Adult,23,4,2,0,0,0,0,True,False,False,True,,False
0033_01,F,S,1,Earth,D1,Adult,24,8,1,1,639,0,639,False,True,False,False,,False
0034_01,D,S,1,Europa,D1,Adult,28,1,1,0,0,0,0,True,True,False,True,True,True
0035_01,D,P,1,Mars,D1,Adult,23,6,1,3,964,1735,2699,False,True,False,False,False,True
0036_01,F,S,1,Earth,D1,Teen,15,6,1,4,540,421,961,False,True,False,False,False,True
0037_01,F,S,1,Earth,D3,Adult,19,5,1,4,139,576,715,False,True,False,False,,False
0038_01,F,S,1,Earth,D1,Adult,20,7,1,3,195,3160,3355,False,True,False,False,False,True
0039_01,G,P,1,Earth,D1,Adult,30,2,1,0,0,0,0,True,True,False,True,False,True
0040_01,D,P,1,Europa,D3,Adult,45,7,2,4,74,1949,2023,False,False,False,False,,False
0040_02,D,P,1,Europa,D3,Adult,44,7,2,3,1561,238,1799,False,False,False,False,,False
0041_01,G,P,1,Earth,D3,Teen,17,11,1,0,0,0,0,True,True,False,True,True,True
0042_01,E,P,1,Mars,D3,Adult,46,3,1,0,0,0,0,True,True,False,True,,False
0043_01,B,P,1,Europa,D3,Adult,45,3,1,4,209,3366,3575,False,True,False,False,False,True
0044_01,G,P,1,Earth,D3,Adult,55,9,3,0,0,0,0,True,False,False,True,False,True
0044_02,G,P,1,Earth,D1,Child,4,9,3,0,0,0,0,True,False,False,True,True,True
0044_03,G,P,1,Earth,D2,Adult,21,9,3,0,0,0,0,True,False,False,True,True,True
0045_01,F,P,1,Mars,D3,Adult,21,7,2,3,180,1034,1214,False,False,False,False,False,True
0045_02,F,P,1,Mars,D3,Adult,19,7,2,0,0,0,0,True,False,False,True,True,True
0046_01,G,P,1,Earth,D3,Adult,21,15,3,2,0,1779,1779,False,False,False,False,,False
0046_02,F,P,1,Earth,D3,Adult,27,15,3,1,0,903,903,False,False,False,False,,False
0046_03,F,P,1,Earth,D3,Adult,20,15,3,5,265,1149,1414,False,False,False,False,,False
0047_01,B,S,1,Europa,D3,Adult,44,5,3,0,0,0,0,True,False,False,True,,False
0047_02,B,S,1,Europa,D3,Adult,29,5,3,4,7951,912,8863,False,False,False,False,,False
0047_03,B,S,1,Europa,D3,Adult,40,5,3,5,1933,3233,5166,False,False,False,False,,False
0048_01,G,S,1,Earth,D3,Adult,30,2,1,3,904,3,907,False,True,False,False,,False
0049_01,E,P,1,Earth,D3,Teen,14,7,1,1,0,1609,1609,False,True,False,False,,False
0050_01,E,S,1,Earth,D1,Adult,35,3,1,1,0,790,790,False,True,False,False,False,True
0051_01,E,S,1,Earth,D3,Adult,56,6,1,3,112,1506,1618,False,True,False,False,False,True
0052_01,G,S,1,Earth,D3,Adult,26,8,1,3,2,4687,4689,False,True,False,False,False,True
0053_01,F,S,1,Earth,D3,Adult,25,10,1,2,1938,1,1939,False,True,False,False,True,True
0054_01,B,P,1,Europa,D1,Adult,31,4,3,0,0,0,0,True,False,False,True,,False
0054_02,B,P,1,Europa,D1,Adult,27,4,3,3,6977,1239,8216,False,False,False,False,,False
0054_03,B,P,1,Europa,D1,Adult,66,4,3,4,6452,1603,8055,False,False,False,False,,False
0055_01,G,P,1,Earth,D3,Adult,24,4,1,4,26,1802,1828,False,True,False,False,,False
0056_01,A,S,1,Europa,D3,Child,2,6,3,0,0,0,0,True,False,False,False,True,True
0056_02,A,S,1,Europa,D3,Adult,38,6,3,0,0,0,0,True,False,False,True,True,True
0056_03,A,S,1,Europa,D3,Adult,27,6,3,5,3979,568,4547,False,False,False,False,True,True
0057_01,C,P,1,Europa,D1,Adult,19,3,1,5,8768,833,9601,False,True,False,False,,False
0058_01,G,S,1,Earth,D2,Adult,36,6,1,0,0,0,0,True,True,False,True,False,True
0059_01,E,P,1,Earth,D3,Adult,36,8,1,0,0,0,0,True,True,False,True,,False
0060_01,F,P,1,Earth,D3,Adult,21,4,1,3,631,3,634,False,True,False,False,,False
0061_01,F,S,1,Earth,D3,Adult,22,5,1,5,1244,1423,2667,False,True,False,False,False,True
0062_01,F,S,1,Earth,D3,Adult,62,8,1,3,592,42,634,False,True,False,False,False,True
0063_01,G,S,1,Earth,D1,Adult,18,12,1,0,0,0,0,True,True,False,True,,False
0064_01,F,S,1,Mars,D3,Teen,15,7,2,0,0,0,0,True,False,False,True,True,True
0064_02,E,S,1,Mars,D3,Adult,33,7,2,0,0,0,0,True,False,False,True,True,True
0065_01,G,S,1,Earth,D3,Adult,26,5,1,0,0,0,0,True,True,False,True,,False
0066_01,G,P,1,Earth,D3,Adult,62,5,1,4,350,461,811,False,True,False,False,False,True
0067_01,G,S,1,Earth,D2,Child,0,9,3,0,0,0,0,True,False,False,True,True,True
0067_02,G,S,1,Earth,D3,Adult,18,9,3,3,704,1,705,False,False,False,False,True,True
0067_03,F,S,1,Earth,D1,Adult,21,9,3,3,37,1970,2007,False,False,False,False,False,True
0068_01,E,S,1,Mars,D3,Adult,28,3,1,3,2,1046,1048,False,True,False,False,False,True
0069_01,F,S,1,Earth,D3,Adult,42,0,1,3,9,893,902,False,True,False,False,True,True
0070_01,F,P,1,Earth,D3,Adult,19,8,1,4,5,917,922,False,True,False,False,False,True
0071_01,F,P,1,Earth,D3,Teen,17,3,1,3,2165,68,2233,False,True,False,False,False,True
0072_01,F,S,1,Earth,D3,Teen,14,8,1,2,1,1063,1064,False,True,False,False,False,True
0073_01,D,P,1,Mars,D2,Adult,37,11,1,4,821,58,879,False,True,False,False,False,True
0074_01,C,S,1,Europa,D3,Adult,42,7,1,3,8397,507,8904,False,True,False,False,True,True
0075_01,G,S,1,Earth,D3,Adult,19,6,1,2,30,598,628,False,True,False,False,,False
0076_01,F,S,1,Mars,D3,Adult,27,11,1,2,1018,147,1165,False,True,False,False,True,True
0077_01,F,P,1,Mars,D3,Adult,28,2,1,2,1295,14,1309,False,True,False,False,True,True
0078_01,C,S,1,Europa,D3,Adult,38,4,1,3,5840,9975,15815,False,True,False,False,False,True
0079_01,G,S,1,Earth,D3,Adult,48,10,1,0,0,0,0,True,True,False,True,,False
0080_01,G,P,1,Earth,D3,Adult,23,9,1,3,870,37,907,False,True,False,False,,False
0081_01,G,S,1,Earth,D3,Teen,13,9,1,0,0,0,0,True,True,False,True,False,True
0082_01,F,P,1,Mars,D3,Adult,42,7,3,1,0,7406,7406,False,False,False,False,False,True
0082_02,F,P,1,Mars,D3,Child,2,7,3,0,0,0,0,True,False,False,True,True,True
0082_03,F,P,1,Mars,D3,Child,8,7,3,0,0,0,0,True,False,False,False,True,True
0083_01,G,P,1,Earth,D3,Adult,24,13,1,3,87,697,784,False,True,False,False,,False
0084_01,G,S,1,Earth,D3,Adult,24,6,1,2,0,705,705,False,True,False,False,True,True
0085_01,C,S,1,Europa,D3,Adult,40,2,1,0,0,0,0,True,True,False,True,True,True
0086_01,F,P,1,Earth,D3,Adult,43,8,1,3,0,1362,1362,False,True,False,False,False,True
0087_01,E,P,1,Earth,D3,Adult,19,12,1,4,155,632,787,False,True,False,False,,False
0088_01,E,S,1,Mars,D2,Adult,45,5,1,0,0,0,0,True,True,False,True,True,True
0089_01,F,S,1,Mars,D3,Adult,24,4,1,0,0,0,0,True,True,False,True,,False
0090_01,G,S,1,Earth,D3,Adult,35,11,1,0,0,0,0,True,True,False,True,True,True
0091_01,G,S,1,Earth,D3,Adult,26,13,2,0,0,0,0,True,False,False,True,True,True
0091_02,F,S,1,Earth,D3,Adult,27,13,2,4,728,189,917,False,False,False,False,False,True
0092_01,G,P,1,Earth,D3,Adult,19,5,3,3,670,35,705,False,False,False,False,False,True
0092_02,G,P,1,Earth,D3,Child,0,10,3,0,0,0,0,True,False,False,True,True,True
0092_03,G,P,1,Earth,D3,Child,3,10,3,0,0,0,0,True,False,False,True,True,True
0093_01,G,P,1,Earth,D3,Adult,27,7,1,3,1736,81,1817,False,True,False,False,,False
0094_01,G,S,1,Earth,D3,Child,6,9,2,0,0,0,0,True,False,False,True,,False
0094_02,F,S,1,Earth,D3,Adult,33,9,2,1,0,866,866,False,False,False,False,,False
0095_01,F,P,1,Earth,D2,Adult,23,5,1,1,1235,0,1235,False,True,False,False,,False
0096_01,F,S,1,Earth,D2,Adult,30,9,1,3,1585,485,2070,False,True,False,False,,False
0097_01,A,S,1,Europa,D3,Adult,54,5,1,3,1208,640,1848,False,True,False,False,False,True
0098_01,G,P,1,Earth,D3,Adult,26,6,2,3,861,32,893,False,False,False,False,False,True
0098_02,G,P,1,Earth,D3,Adult,26,6,2,3,3768,87,3855,False,False,False,False,True,True
0099_01,F,P,1,Earth,D2,Adult,23,3,2,4,953,348,1301,False,False,False,False,False,True
0099_02,G,P,1,Earth,D3,Child,2,4,2,0,0,0,0,True,False,False,True,True,True
0100_01,G,P,1,Earth,D3,Adult,28,9,2,2,1014,0,1014,False,False,False,False,,False
0100_02,G,P,1,Earth,D3,Child,1,9,2,0,0,0,0,True,False,False,False,,False
0101_01,F,P,1,Mars,D3,Adult,31,6,1,0,0,0,0,True,True,False,True,True,True
0102_01,F,S,1,Earth,D3,Adult,18,5,1,2,0,921,921,False,True,False,False,False,True
0103_01,F,S,1,Earth,D3,Adult,24,6,3,1,0,17,17,False,False,False,False,True,True
0103_02,G,S,1,Earth,D1,Child,9,6,3,0,0,0,0,True,False,False,True,True,True
0103_03,G,S,1,Earth,D3,Child,6,6,3,0,0,0,0,True,False,False,True,False,True
0104_01,F,S,1,Earth,D3,Adult,20,7,1,2,0,600,600,False,True,False,False,,False
0105_01,F,P,1,Earth,D3,Adult,27,9,1,3,570,133,703,False,True,False,False,False,True
0106_01,F,S,1,Earth,D3,Teen,17,9,1,0,0,0,0,True,True,False,True,,False
0107_01,D,S,1,Mars,D3,Adult,21,4,1,3,22,1743,1765,False,True,False,False,False,True
0108_01,G,S,1,Earth,D3,Adult,23,11,3,0,0,0,0,True,False,False,True,False,True
0108_02,G,S,1,Earth,D3,Adult,31,11,3,2,326,562,888,False,False,False,False,False,True
0108_03,G,S,1,Earth,D3,Child,0,11,3,0,0,0,0,True,False,False,False,True,True
0109_01,F,P,1,Earth,D3,Adult,34,7,1,3,39,557,596,False,True,False,False,,False
0110_01,B,P,1,Europa,D3,Adult,32,7,4,4,416,4693,5109,False,False,False,False,False,True
0110_02,B,P,1,Europa,D3,Adult,40,2,4,2,331,1687,2018,False,False,False,False,False,True
0110_03,B,P,1,Europa,D3,Adult,42,7,4,4,11418,4522,15940,False,False,False,False,True,True
0110_04,B,P,1,Europa,D3,Adult,28,7,4,0,0,0,0,True,False,False,True,True,True
0111_01,E,S,1,Europa,D3,Adult,29,6,1,0,0,0,0,True,True,False,True,True,True
0112_01,B,S,1,Europa,D1,Adult,48,2,1,4,2624,30,2654,False,True,True,False,True,True
0113_01,F,P,1,Earth,D3,Adult,64,8,1,1,804,0,804,False,True,False,False,True,True
0114_01,G,S,1,Earth,D3,Adult,27,7,1,5,586,321,907,False,True,False,False,False,True
0115_01,F,P,1,Mars,D3,Adult,26,5,1,0,0,0,0,True,True,False,True,True,True
0116_01,D,P,1,Europa,D3,Adult,33,2,1,4,2223,417,2640,False,True,False,False,True,True
0117_01,E,P,1,Earth,D2,Adult,24,12,1,3,104,686,790,False,True,False,False,,False
0118_01,G,P,1,Earth,D3,Adult,29,6,1,3,869,15,884,False,True,False,False,,False
0119_01,A,P,1,Europa,D3,Adult,39,5,2,3,2344,6963,9307,False,False,False,False,False,True
0119_02,A,P,1,Europa,D3,Teen,13,5,2,0,0,0,0,True,False,False,True,True,True
0120_01,F,P,1,Mars,D3,Adult,24,5,1,0,0,0,0,True,True,False,True,True,True
0121_01,F,P,1,Earth,D3,Adult,20,8,1,4,3,2613,2616,False,True,False,False,,False
0122_01,G,S,1,Earth,D3,Adult,29,10,1,2,0,773,773,False,True,False,False,False,True
0123_01,F,P,1,Earth,D3,Adult,18,9,1,4,646,56,702,False,True,False,False,False,True
0124_01,G,P,1,Earth,D1,Child,5,7,1,0,0,0,0,True,True,False,True,,False
0125_01,B,P,1,Europa,D1,Adult,22,6,2,0,0,0,0,True,False,False,True,,False
0125_02,B,P,1,Europa,D3,Teen,16,6,2,3,2872,6424,9296,False,False,False,False,,False
0126_01,F,S,1,Mars,D3,Adult,67,3,1,0,0,0,0,True,True,False,True,True,True
0127_01,E,S,1,Mars,D3,Adult,35,3,1,3,296,726,1022,False,True,False,False,False,True
0128_01,D,S,1,Mars,D3,Adult,61,3,2,5,343,2671,3014,False,False,True,False,False,True
0128_02,E,S,1,Mars,D3,Adult,45,3,2,2,6,2103,2109,False,False,False,False,False,True
0129_01,G,S,1,Earth,D2,Adult,22,7,1,0,0,0,0,True,True,False,True,True,True
0130_01,G,P,1,Earth,D1,Child,7,6,1,0,0,0,0,True,True,False,True,,False
0131_01,F,S,1,Earth,D1,Adult,36,8,1,2,571,36,607,False,True,False,False,,False
0132_01,D,S,1,Mars,D1,Adult,26,8,1,4,2620,143,2763,False,True,False,False,,False
0133_01,F,S,1,Mars,D3,Adult,19,7,2,0,0,0,0,True,False,False,True,True,True
0133_02,D,S,1,Mars,D3,Adult,36,7,2,1,0,2738,2738,False,False,False,False,False,True
0134_01,G,P,1,Earth,D3,Adult,19,6,1,2,744,0,744,False,True,False,False,True,True
0135_01,F,P,1,Earth,D3,Adult,40,9,1,3,515,413,928,False,True,False,False,,False
0136_01,G,S,1,Earth,D2,Adult,47,0,1,5,544,177,721,False,True,False,False,False,True
0137_01,G,S,1,Earth,D3,Adult,29,7,1,0,0,0,0,True,True,False,True,,False
0138_01,G,P,1,Earth,D3,Teen,13,6,2,0,0,0,0,True,False,False,True,True,True
0138_02,E,P,1,Earth,D3,Adult,34,6,2,3,22,771,793,False,False,False,False,False,True
0139_01,C,S,1,Europa,D1,Adult,35,9,1,0,0,0,0,True,True,False,True,True,True
0140_01,G,P,1,Earth,D3,Adult,24,9,2,0,0,0,0,True,False,False,True,True,True
0140_02,F,P,1,Earth,D3,Adult,26,5,2,2,0,902,902,False,False,False,False,False,True
0141_01,F,P,1,Mars,D3,Adult,31,3,1,1,97,0,97,False,True,False,False,False,True
0142_01,F,S,1,Mars,D3,Child,2,6,3,0,0,0,0,True,False,False,True,,False
0142_02,F,S,1,Mars,D3,Adult,23,6,3,3,402,887,1289,False,False,False,False,,False
0142_03,F,S,1,Mars,D3,Child,0,6,3,0,0,0,0,True,False,False,False,,False
0143_01,C,P,1,Europa,D1,Adult,30,3,1,4,14961,3552,18513,False,True,False,False,,False
0144_01,F,S,1,Earth,D3,Adult,20,6,1,2,630,0,630,False,True,False,False,True,True
0145_01,E,P,1,Earth,D3,Adult,56,9,1,3,67,723,790,False,True,False,False,,False
0146_01,G,S,1,Earth,D3,Adult,56,12,1,0,0,0,0,True,True,False,False,False,True
0147_01,G,S,1,Earth,D3,Adult,50,9,1,0,0,0,0,True,True,False,True,True,True
0148_01,F,P,1,Mars,D3,Adult,42,7,1,3,10,1148,1158,False,True,False,False,False,True
0149_01,G,S,1,Earth,D1,Adult,23,9,1,0,0,0,0,True,True,False,True,True,True
0150_01,B,P,1,Europa,D3,Adult,36,6,2,0,0,0,0,True,False,False,True,,False
0150_02,B,P,1,Europa,D3,Adult,56,6,2,0,0,0,0,True,False,False,True,,False
0151_01,G,P,1,Earth,D1,Adult,38,10,1,0,0,0,0,True,True,False,True,False,True
0152_01,F,P,1,Earth,D3,Adult,41,6,1,1,0,607,607,False,True,False,False,False,True
0153_01,F,S,1,Earth,D3,Adult,19,6,1,3,521,255,776,False,True,False,False,,False
0154_01,G,P,1,Earth,D2,Adult,39,15,1,0,0,0,0,True,True,False,True,,False
0155_01,F,P,1,Mars,D3,Adult,38,7,1,4,174,1215,1389,False,True,False,False,,False
0156_01,F,P,1,Mars,D3,Adult,29,7,1,0,0,0,0,True,True,False,True,,False
0157_01,A,P,1,Europa,D3,Adult,35,4,1,3,463,2087,2550,False,True,False,False,,False
0158_01,E,S,1,Earth,D1,Adult,26,9,2,3,0,989,989,False,False,False,False,,False
0158_02,F,S,1,Earth,D3,Adult,31,9,2,1,705,0,705,False,False,False,False,,False
0159_01,F,S,1,Earth,D3,Adult,38,5,1,2,3,756,759,False,True,False,False,,False
0160_01,G,P,1,Earth,D3,Adult,22,5,1,2,0,4180,4180,False,True,False,False,False,True
0161_01,F,P,1,Earth,D1,Adult,27,5,1,2,11,1172,1183,False,True,False,False,,False
0162_01,F,P,1,Mars,D1,Adult,30,9,1,0,0,0,0,True,True,False,True,,False
0163_01,B,P,1,Europa,D3,Adult,26,6,2,0,0,0,0,True,False,False,True,True,True
0163_02,B,P,1,Europa,D3,Teen,17,6,2,0,0,0,0,True,False,False,True,True,True
0164_01,G,S,1,Earth,D3,Adult,57,6,2,3,1688,185,1873,False,False,False,False,True,True
0164_02,G,S,1,Earth,D2,Teen,17,6,2,0,0,0,0,True,False,False,True,False,True
0165_01,F,P,1,Mars,D3,Adult,35,3,1,0,0,0,0,True,True,False,True,True,True
0166_01,G,S,1,Earth,D3,Adult,22,6,1,1,772,0,772,False,True,False,False,,False
0167_01,F,S,1,Mars,D3,Teen,13,8,2,0,0,0,0,True,False,False,True,True,True
0167_02,F,S,1,Mars,D3,Adult,27,8,2,4,48,1524,1572,False,False,False,False,False,True
0168_01,C,S,1,Europa,D3,Adult,29,1,1,0,0,0,0,True,True,False,True,,False
0169_01,G,P,1,Earth,D3,Adult,31,7,1,0,0,0,0,True,True,False,True,False,True
0170_01,E,S,1,Earth,D3,Adult,24,5,1,2,0,788,788,False,True,False,False,False,True
0171_01,G,S,1,Earth,D2,Adult,19,12,1,0,0,0,0,True,True,False,True,True,True
0172_01,G,P,1,Earth,D3,Adult,32,6,1,0,0,0,0,True,True,False,True,True,True
0173_01,E,S,1,Earth,D3,Adult,58,4,1,2,985,5,990,False,True,False,False,True,True
0174_01,F,P,1,Earth,D1,Adult,21,8,1,4,16,577,593,False,True,False,False,False,True
0175_01,G,P,1,Earth,D3,Child,0,13,5,0,0,0,0,True,False,False,True,,False
0175_02,G,P,1,Earth,D1,Child,8,13,5,0,0,0,0,True,False,False,True,,False
0175_03,G,P,1,Earth,D3,Child,3,13,5,0,0,0,0,True,False,False,True,,False
0175_04,G,P,1,Earth,D3,Adult,27,13,5,0,0,0,0,True,False,False,True,,False
0175_05,G,P,1,Earth,D3,Child,9,13,5,0,0,0,0,True,False,False,False,,False
0176_01,F,P,1,Earth,D2,Adult,29,10,1,3,15,812,827,False,True,False,False,,False
0177_01,B,S,1,Europa,D3,Adult,38,4,1,4,10347,17081,27428,False,True,False,False,False,True
0178_01,D,S,1,Mars,D3,Adult,38,7,1,4,161,3561,3722,False,True,False,False,False,True
0179_01,G,P,1,Earth,D3,Adult,19,10,3,5,892,14,906,False,False,False,False,True,True
0179_02,G,P,1,Earth,D3,Child,0,10,3,0,0,0,0,True,False,False,False,False,True
0179_03,G,P,1,Earth,D3,Child,3,10,3,0,0,0,0,True,False,False,False,True,True
0180_01,F,P,1,Earth,D3,Adult,18,10,1,4,116,815,931,False,True,False,False,,False
0181_01,G,P,1,Earth,D3,Adult,20,8,1,3,3,391,394,False,True,False,False,False,True
0182_01,C,P,1,Europa,D3,Adult,24,2,1,0,0,0,0,True,True,False,True,True,True
0183_01,F,S,1,Earth,D3,Adult,37,9,1,4,572,249,821,False,True,False,False,True,True
0184_01,E,P,1,Mars,D3,Adult,22,4,1,2,1175,197,1372,False,True,False,False,,False
0185_01,F,S,1,Mars,D3,Adult,24,7,1,3,1415,6,1421,False,True,False,False,,False
0186_01,G,P,1,Earth,D3,Adult,25,8,1,2,0,1018,1018,False,True,False,False,False,True
0187_01,F,S,1,Mars,D1,Adult,25,7,1,0,0,0,0,True,True,False,True,,False
0188_01,G,S,1,Earth,D3,Adult,56,5,1,0,0,0,0,True,True,False,True,True,True
0189_01,E,P,1,Earth,D1,Adult,49,4,1,5,404,384,788,False,True,False,False,False,True
0190_01,G,S,1,Earth,D1,Child,11,0,1,0,0,0,0,True,True,False,True,False,True
0191_01,F,S,1,Earth,D3,Adult,36,11,1,3,206,726,932,False,True,False,False,,False
0192_01,G,P,1,Earth,D3,Child,1,10,3,0,0,0,0,True,False,False,True,True,True
0192_02,G,P,1,Earth,D3,Child,8,10,3,0,0,0,0,True,False,False,False,False,True
0192_03,G,P,1,Earth,D3,Adult,39,10,3,2,10,898,908,False,False,False,False,False,True
0193_01,F,P,1,Mars,D3,Child,2,5,3,0,0,0,0,True,False,False,True,True,True
0193_02,F,P,1,Mars,D3,Adult,23,5,3,2,8,1072,1080,False,False,False,False,False,True
0193_03,F,P,1,Mars,D3,Child,0,5,3,0,0,0,0,True,False,False,False,True,True
0194_01,C,P,1,Europa,D3,Teen,14,14,3,0,0,0,0,True,False,False,True,,False
0194_02,C,P,1,Europa,D1,Adult,24,14,3,0,0,0,0,True,False,False,True,,False
0194_03,C,P,1,Europa,D1,Adult,26,14,3,3,275,4735,5010,False,False,True,False,,False
0195_01,F,P,1,Mars,D3,Adult,39,8,1,2,867,406,1273,False,True,False,False,True,True
0196_01,D,P,1,Mars,D2,Adult,25,9,1,3,719,1059,1778,False,True,False,False,False,True
0197_01,C,P,1,Europa,D3,Adult,36,4,1,3,972,1370,2342,False,True,False,False,False,True
0198_01,G,P,1,Earth,D2,Adult,52,8,1,0,0,0,0,True,True,False,True,True,True
0199_01,G,S,1,Earth,D3,Adult,18,6,1,0,0,0,0,True,True,False,True,False,True
0200_01,G,P,1,Earth,D3,Teen,15,10,1,0,0,0,0,True,True,False,True,True,True
0201_01,B,S,1,Europa,D3,Adult,35,6,2,0,0,0,0,True,False,False,True,True,True
0201_02,B,S,1,Europa,D3,Adult,47,6,2,0,0,0,0,True,False,False,True,True,True
0202_01,B,P,1,Europa,D1,Adult,45,7,2,0,0,0,0,True,False,False,True,True,True
0202_02,A,P,1,Europa,D1,Adult,35,7,2,3,2433,1321,3754,False,False,False,False,True,True
0203_01,C,S,1,Europa,D3,Adult,51,1,1,0,0,0,0,True,True,False,True,True,True
0204_01,F,P,1,Earth,D2,Adult,29,5,1,4,244,1824,2068,False,True,False,False,,False
0205_01,G,S,1,Earth,D3,Adult,29,16,1,3,68,705,773,False,True,False,False,False,True
0206_01,C,S,1,Europa,D1,Adult,36,2,1,5,1732,1249,2981,False,True,False,False,True,True
0207_01,G,P,1,Earth,D2,Adult,19,7,1,0,0,0,0,True,True,False,True,False,True
0208_01,G,P,1,Earth,D3,Adult,40,10,1,3,565,62,627,False,True,False,False,,False
0209_01,B,P,1,Europa,D3,Adult,36,5,1,3,0,13993,13993,False,True,False,False,,False
0210_01,D,P,1,Europa,D1,Adult,24,3,1,0,0,0,0,True,True,False,True,True,True
0211_01,F,P,1,Mars,D3,Adult,29,2,3,3,138,902,1040,False,False,False,False,True,True
0211_02,F,P,1,Mars,D3,Child,11,2,3,0,0,0,0,True,False,False,True,True,True
0211_03,F,P,1,Mars,D3,Teen,17,6,3,3,307,1030,1337,False,False,False,False,False,True
0212_01,E,P,1,Earth,D3,Teen,13,9,2,3,0,982,982,False,False,False,False,False,True
